Cluster,Total Occurrences,Unique Words,Top Words (with counts),Avg Sentiment,Avg Self-Ref Ratio,Avg Second-Person Ratio,Avg Token Count,Avg Expressive Rate,Avg Anthropomorphic Rate
C26,17878,4545,television (565) | theater (351) | magic (307) | pandas (285) | Flask (283),0.187,0.02,0.016,73.691,0.145,0.212
C10,17806,1361,"data analysis (4,206) | character analysis (1,235) | Data Analysis (736) | market analysis (593) | analysis (438)",0.192,0.018,0.018,97.447,0.11,0.192
C36,17468,2679,"economics (1,199) | politics (813) | sustainability (754) | sociology (527) | social interaction (445)",0.212,0.015,0.014,134.139,0.169,0.181
C17,17296,1880,"SQL (1,691) | Cloud Computing (862) | cloud computing (816) | Docker (598) | Kubernetes (479)",0.194,0.023,0.014,75.3,0.039,0.151
C37,16934,1701,"education (7,858) | Education (1,262) | training (341) | public speaking (287) | learning (244)",0.309,0.026,0.02,89.526,0.159,0.28
C5,16904,2383,research (872) | assessment (705) | evaluation (659) | testing (423) | reporting (343),0.236,0.021,0.023,82.683,0.103,0.231
C46,16790,2491,"health (1,579) | healthcare (1,213) | mental health (864) | fitness (705) | wellness (368)",0.231,0.018,0.015,163.911,0.181,0.218
C16,16453,2305,career development (729) | leadership (610) | employment (599) | job application (557) | productivity (365),0.374,0.028,0.022,119.078,0.199,0.283
C34,15103,2121,"travel (1,952) | entertainment (1,190) | sports (659) | tourism (595) | transportation (524)",0.327,0.023,0.019,79.057,0.225,0.279
C9,14265,1997,"e-commerce (1,236) | sales (703) | customer service (584) | product development (513) | retail (391)",0.354,0.022,0.02,106.714,0.112,0.206
C7,13965,2239,image processing (947) | computer vision (652) | photography (521) | animation (503) | video production (451),0.243,0.022,0.017,84.964,0.143,0.245
C21,13920,1740,"business (2,395) | business strategy (1,035) | entrepreneurship (879) | business planning (335) | business communication (268)",0.363,0.02,0.02,114.97,0.101,0.204
C47,13090,1436,"law (1,024) | contract law (805) | construction law (697) | Construction Law (553) | legal (462)",0.208,0.016,0.019,209.077,0.066,0.149
C8,12224,2195,"construction (1,133) | Construction (630) | automotive (352) | manufacturing (308) | Building Contracts (226)",0.212,0.02,0.017,116.632,0.08,0.155
C15,11995,1040,"design (1,255) | architecture (597) | graphic design (478) | UI design (449) | UI Design (390)",0.252,0.02,0.018,66.782,0.134,0.245
C11,11302,1585,blockchain (936) | security (879) | cybersecurity (702) | authentication (610) | cryptography (446),0.199,0.021,0.015,88.782,0.061,0.151
C44,11212,1827,mythology (912) | Theology (577) | religion (576) | spirituality (553) | astronomy (401),0.192,0.017,0.015,78.299,0.207,0.181
C39,11095,1677,"cooking (1,229) | nutrition (875) | agriculture (796) | food (672) | recipes (334)",0.275,0.021,0.016,78.012,0.151,0.228
C42,10107,2462,science (592) | biology (332) | genetics (308) | biochemistry (252) | molecular biology (249),0.157,0.013,0.012,84.935,0.085,0.149
C4,9082,1344,geography (656) | planning (655) | Geography (568) | navigation (444) | logistics (429),0.184,0.021,0.017,60.346,0.102,0.194
C38,9040,1837,naming (945) | classification (256) | graph theory (254) | terminology (209) | use cases (188),0.179,0.02,0.019,51.096,0.109,0.231
C24,8245,2600,NSW (326) | NFTs (146) | acronyms (143) | CI/CD (131) | NCAT (122),0.208,0.022,0.016,92.245,0.06,0.184
C32,7948,1484,"networking (1,396) | Networking (1,064) | network security (246) | .NET (134) | DNS (127)",0.151,0.02,0.012,68.151,0.05,0.126
C43,7916,1259,"music (2,386) | songwriting (376) | music production (143) | audio processing (124) | music theory (122)",0.239,0.023,0.018,71.5,0.272,0.286
C41,7068,1972,thermodynamics (193) | renewable energy (174) | Electrical Engineering (170) | energy (156) | Electromagnetism (142),0.251,0.014,0.013,94.668,0.06,0.135
C29,6255,1795,safety (281) | regulations (162) | guidance (152) | rules (148) | guidelines (102),0.207,0.018,0.016,148.061,0.092,0.167
C2,5971,1253,scheduling (563) | event planning (544) | events (175) | concurrency (146) | Concurrency (131),0.2,0.022,0.019,59.821,0.115,0.215
C23,5028,942,operating systems (335) | Operating Systems (268) | distributed systems (122) | Information Systems (114) | control systems (106),0.199,0.012,0.012,80.122,0.053,0.132
C14,3445,802,modeling (300) | model training (273) | 3D modeling (228) | statistical modeling (76) | predictive modeling (72),0.237,0.021,0.019,84.493,0.09,0.21
C28,2777,660,cultural studies (172) | pop culture (118) | culture (114) | Culture (90) | Cultural Studies (77),0.282,0.015,0.015,125.724,0.217,0.209
